ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
559,22.0,4,1.25,1.75,15,25,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
560,30.0,1,3.25,0.75,40,10,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
561,30.0,4,0.3,0.3,2,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
562,30.0,4,0.3,2.25,6,10,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
563,40.0,4,5.0,2.25,15,13,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
564,30.0,2,0.3,0.3,5,5,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
565,54.0,4,0.3,5.0,15,20,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
566,22.0,4,0.3,3.75,2,30,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
567,22.0,1,0.3,0.3,5,10,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
568,22.0,2,0.3,0.3,5,5,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
569,30.0,4,1.25,0.75,15,5,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
570,30.0,2,5.0,1.25,30,15,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
571,30.0,4,5.0,5.0,60,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
572,30.0,4,4.75,5.0,15,30,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
573,22.0,2,3.75,0.3,20,5,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
574,22.0,2,0.75,0.75,5,7,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
575,30.0,2,0.75,0.3,10,5,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
576,30.0,1,1.25,1.25,10,15,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
577,22.0,2,0.3,0.3,7,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
578,22.0,4,0.3,0.3,7,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
579,30.0,1,1.75,0.3,10,5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
580,40.0,4,5.0,0.75,15,7,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
581,40.0,2,0.3,1.25,3,10,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
582,22.0,1,0.3,0.3,5,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
583,40.0,1,5.0,2.25,20,10,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
584,30.0,4,2.25,4.25,13,10,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
585,30.0,2,0.75,2.25,5,10,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
586,22.0,4,1.75,0.3,10,5,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
587,22.0,2,0.75,0.75,7,7,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
588,30.0,1,0.3,0.3,5,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
