ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
2189,54.0,4,0.75,0.3,5,10,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2190,22.0,4,5.0,0.75,25,5,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2191,22.0,4,0.3,0.75,5,7,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2192,22.0,4,5.0,0.3,25,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2193,22.0,4,0.3,0.75,2,10,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2194,22.0,4,1.75,3.75,10,10,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2195,40.0,4,0.75,0.3,10,5,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2196,40.0,4,0.75,0.3,10,5,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2197,22.0,2,0.3,0.75,3,10,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2198,22.0,1,1.25,0.75,15,10,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2199,30.0,1,3.25,1.75,18,5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2200,40.0,1,3.75,0.3,10,5,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2201,40.0,4,0.3,0.3,3,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2202,22.0,4,0.3,0.3,5,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2203,22.0,4,0.3,0.3,3,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2204,30.0,4,0.3,0.3,5,5,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2205,22.0,4,0.3,0.3,3,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2206,22.0,1,1.25,0.3,15,8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2207,54.0,4,0.3,0.75,5,8,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2208,30.0,4,0.75,3.75,8,10,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2209,22.0,1,0.75,2.75,10,15,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2210,22.0,4,0.75,0.75,15,10,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2211,22.0,2,0.3,0.75,5,10,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2212,22.0,4,0.3,1.75,2,8,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2213,40.0,1,0.3,0.3,5,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2214,22.0,1,0.75,0.3,13,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2215,30.0,4,0.75,0.3,15,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
